-0.020639, -2412667.808504
-0.020744, -2424301.494613
-0.020849, -2435934.344048
-0.020954, -2447566.355532
-0.021059, -2459197.527788
-0.021164, -2470827.859535
-0.021269, -2482457.349490
-0.021374, -2494085.996366
-0.021479, -2505713.798877
-0.021584, -2517340.755732
-0.021689, -2528966.865636
-0.021794, -2540592.127295
-0.021900, -2552216.539411
-0.022005, -2563840.100682
-0.022110, -2575462.809806
-0.022216, -2587084.665476
-0.022321, -2598705.666383
-0.022427, -2610325.811218
-0.022532, -2621945.098666
-0.022638, -2633563.527412
-0.022744, -2645181.096135
-0.022849, -2656797.803516
-0.022955, -2668413.648230
-0.023061, -2680028.628951
-0.023167, -2691642.744349
-0.023273, -2703255.993093
-0.023379, -2714868.373848
-0.023485, -2726479.885278
-0.023591, -2738090.526042
-0.023697, -2749700.294799
-0.023803, -2761309.190203
-0.023909, -2772917.210907
-0.024015, -2784524.355561
-0.024122, -2796130.622811
-0.024228, -2807736.011303
-0.024335, -2819340.519678
-0.024441, -2830944.146574
-0.024547, -2842546.890630
-0.024654, -2854148.750477
-0.024761, -2865749.724747
-0.024867, -2877349.812069
-0.024974, -2888949.011068
-0.025081, -2900547.320367
-0.025187, -2912144.738585
-0.025294, -2923741.264341
-0.025401, -2935336.896249
-0.025508, -2946931.632920
-0.025615, -2958525.472965
-0.025722, -2970118.414989
-0.025829, -2981710.457597
-0.025936, -2993301.599388
-0.026044, -3004891.838961
-0.026151, -3016481.174912
-0.026258, -3028069.605832
-0.026365, -3039657.130312
-0.026473, -3051243.746939
-0.026580, -3062829.454296
-0.026688, -3074414.250965
-0.026795, -3085998.135524
-0.026903, -3097581.106550
-0.027011, -3109163.162614
-0.027118, -3120744.302287
-0.027226, -3132324.524135
-0.027334, -3143903.826724
-0.027442, -3155482.208614
-0.027549, -3167059.668365
-0.027657, -3178636.204531
-0.027765, -3190211.815665
-0.027873, -3201786.500318
-0.027981, -3213360.257036
-0.028090, -3224933.084364
-0.028198, -3236504.980842
-0.028306, -3248075.945009
-0.028414, -3259645.975400
-0.028523, -3271215.070547
-0.028631, -3282783.228981
-0.028740, -3294350.449227
-0.028848, -3305916.729809
-0.028957, -3317482.069248
-0.029065, -3329046.466061
-0.029174, -3340609.918764
-0.029282, -3352172.425867
-0.029391, -3363733.985880
-0.029500, -3375294.597307
-0.029609, -3386854.258653
-0.029718, -3398412.968417
